LeBron James
Stephen Curry
Kevin Durant
Giannis Antetokounmpo
Nikola Jokić
Luka Dončić
Joel Embiid
Jayson Tatum
Jaylen Brown
Anthony Edwards
Shai Gilgeous-Alexander
Victor Wembanyama
Anthony Davis
Devin Booker
Damian Lillard
Kyrie Irving
James Harden
Ja Morant
Donovan Mitchell
Trae Young
Caitlin Clark
Angel Reese
A'ja Wilson
Breanna Stewart
Sabrina Ionescu
Brittney Griner
Patrick Mahomes
Travis Kelce
Josh Allen
Joe Burrow
Lamar Jackson
Justin Jefferson
Tyreek Hill
Christian McCaffrey
Ja'Marr Chase
Saquon Barkley
Aaron Rodgers
T.J. Watt
Micah Parsons
Shohei Ohtani
Aaron Judge
Mookie Betts
Mike Trout
Ronald Acuña Jr.
Juan Soto
Freddie Freeman
Bryce Harper
Connor McDavid
Auston Matthews
Nathan MacKinnon
Sidney Crosby
Alexander Ovechkin
Leon Draisaitl
Connor Bedard
Lionel Messi
Cristiano Ronaldo
Kylian Mbappé
Erling Haaland
Vinícius Júnior
Jude Bellingham
Pedri
Lamine Yamal
Florian Wirtz
Bukayo Saka
Mohamed Salah
Harry Kane
Son Heung-min
Rodri
Kevin De Bruyne
Antoine Griezmann
Robert Lewandowski
Karim Benzema
Neymar Jr.
Marquinhos
Endrick
Alexia Putellas
Aitana Bonmatí
Sam Kerr
Mary Earps
Caitlin Foord
Sophia Smith
Trinity Rodman
Mallory Swanson
Novak Djokovic
Carlos Alcaraz
Jannik Sinner
Daniil Medvedev
Alexander Zverev
Stefanos Tsitsipas
Casper Ruud
Holger Rune
Taylor Fritz
Andrey Rublev
Iga Świątek
Aryna Sabalenka
Coco Gauff
Jessica Pegula
Elena Rybakina
Emma Raducanu
Naomi Osaka
Madison Keys
Qinwen Zheng
Mirra Andreeva
Max Verstappen
Lewis Hamilton
Lando Norris
Charles Leclerc
Oscar Piastri
Carlos Sainz
George Russell
Fernando Alonso
Eliud Kipchoge
Tigst Assefa
Sifan Hassan
Faith Kipyegon
Sydney McLaughlin-Levrone
Noah Lyles
Sha'Carri Richardson
Letsile Tebogo
Mondo Duplantis
Katie Ledecky
Léon Marchand
Caeleb Dressel
Summer McIntosh
Mikaela Shiffrin
Marcel Hirscher
Chloe Kim
Eileen Gu
Simone Biles
Sunisa Lee
Jordan Chiles
