अर्जुन शर्मा
प्रिया पटेल
आरव सिंह
अनन्या रेड्डी
विहान कुमार
दिया अय्यर
ईशान वर्मा
सान्वी राव
रेयांश गुप्ता
अनाया नायर
आदित्य मेहरा
आध्या जोशी
कृष्णा भट्ट
आराध्या मेनन
आर्यन खन्ना
मायरा चोपड़ा
विवान देसाई
परी पिल्लई
अथर्व सक्सेना
अन्वी भट्टाचार्य
आरुष चौहान
रिया रामास्वामी
कबीर मल्होत्रा
कियारा कृष्णन
युवान कपूर
अवनी कश्यप
ध्रुव बनर्जी
आरोही सुब्रमण्यन
शौर्य तिवारी
इरा मुखर्जी
रुद्र व्यास
अनिका भारद्वाज
वीर मिश्रा
सारा त्रिवेदी
आर्नव अग्रवाल
मीरा सेनगुप्ता
अद्वैत गोस्वामी
नायरा पांडे
प्रणव अयंगर
इनाया नायडू
युग आहूजा
वान्या चौधरी
हृदान सिन्हा
पीहू रॉय
अयान घोष
रिया दीक्षित
कविन राजपूत
आयशा बंसल
कयान भाटिया
अन्विका तलवार
