Arjun Sharma
Priya Patel
Aarav Singh
Ananya Reddy
Vihaan Kumar
Diya Iyer
Ishaan Verma
Saanvi Rao
Reyansh Gupta
Anaya Nair
Aditya Mehra
Aadhya Joshi
Krishna Bhatt
Aaradhya Menon
Aryan Khanna
Myra Chopra
Vivaan Desai
Pari Pillai
Atharv Saxena
Anvi Bhattacharya
Aarush Chauhan
Riya Ramaswamy
Kabir Malhotra
Kiara Krishnan
Yuvaan Kapoor
Avni Kashyap
Dhruv Banerjee
Aarohi Subramanian
Shaurya Tiwari
Ira Mukherjee
Rudra Vyas
Anika Bhardwaj
Veer Mishra
Sara Trivedi
Aarnav Agrawal
Mira Sengupta
Advait Goswami
Nyra Pandey
Pranav Iyengar
Inaya Naidu
Yug Ahuja
Vanya Choudhary
Hridaan Sinha
Pihu Roy
Ayaan Ghosh
Rhea Dixit
Kavin Rajput
Aisha Bansal
Kayaan Bhatia
Anvika Talwar
